AGREEMENT_RK,PREDICTED_PROB
66960035,0.6950766384885206
62509091,0.6875239030566792
61299637,0.6786451993656931
62996556,0.6726691717539645
75017835,0.6708739861431965
62175433,0.6677898650772984
61250269,0.6657710405252808
62090322,0.665208197578769
61257840,0.6623310990815395
63896207,0.6587376380948095
64583718,0.6559692596638814
64363676,0.6544253776479555
67315784,0.6541887663174593
67152742,0.6492885456419165
63316429,0.6489399393918055
63591154,0.6460702656361549
59927916,0.6456861279487714
62622864,0.6456771263711054
67533566,0.6434719480992647
74641659,0.6428881190026299
75022656,0.6423805596286991
63594354,0.6417598597455804
64913624,0.6409312117779632
62140090,0.6379709838334503
74988727,0.63567034172674
61426992,0.6354080710159276
67201861,0.6331742324416769
64909916,0.6331596530689485
75025924,0.632575781463999
59913542,0.6319673530795424
63900268,0.6296026788019915
64447643,0.6286832291892833
63008148,0.6279968228764577
62135230,0.6270737198834913
59974979,0.6210811652030451
62505743,0.6197378040614094
75019247,0.6194316506875517
62598257,0.6184831852818861
74830295,0.6176035642212665
64831643,0.6175983711722539
64459282,0.6158068254000346
67311505,0.6152671378718216
61961167,0.6142900646009556
60040119,0.6141991469139343
62608970,0.6138985495525272
75008281,0.6135593213356895
74839456,0.6129054249340803
64428344,0.6111365435903497
61143271,0.6102854351695703
64355715,0.6096066925965524
